4be2d,kernel32.VirtualProtect #1442
4bedd,kernel32.VirtualProtect #1442
4bef7,kernel32.FlushInstructionCache #405
4bf09,kernel32.GetCurrentProcess #523
4c455,kernel32.GetFileSizeEx #574
4c546,kernel32.GetCurrentProcessId #524
4cd72,kernel32.GetTempPathW #741
4cd94,kernel32.GetModuleFileNameW #613
4cede,kernel32.SetUnhandledExceptionFilter #1348
4cef4,kernel32.SetErrorMode #1264
4d22e,kernel32.ExitThread #340
4d24d,libssl.evp_pkey_new #8
4d27c,libssl.rsa_generate_key #13
4d2aa,libssl.evp_pkey_assign #6
4d2ca,libssl.evp_pkey_free #7
4d568,kernel32.CreateEventW #184
4d57a,kernel32.CreateEventW #184
4d62b,kernel32.ExitThread #340
4d754,libssl.x509v3_ext_conf_nid #60
4d78a,libssl.x509_add_ext #48
4d7a9,libssl.x509_EXTENSION_free #46
4dc81,kernel32.GetModuleHandleW #617
4dd3e,kernel32.WaitForSingleObject #1452
4ddb8,kernel32.VirtualAlloc #1436
4ebfb,advapi32.GetLengthSid #1332
4ecc2,shell32.SHGetFolderPathW #385
4ecee,kernel32.GetModuleFileNameW #613
4efa5,kernel32.WaitForSingleObject #1452
4f081,kernel32.GetTickCount #757
4f095,libssl.ssl_write #44
4f0de,libssl.ssl_get_error #31
4f10e,kernel32.GetTickCount #757
4f127,kernel32.Sleep #1363
4f13a,libssl.ssl_write #44
4f7e0,kernel32.GetVersionExW #775
4f800,kernel32.GetNativeSystemInfo #630
4f8c3,kernel32.GetVersionExW #775
4fa78,kernel32.FindFirstFileW #373
4fac8,kernel32.FindNextFileW #385
5016f,libssl.x509_new #55
5018a,libssl.asn1_integer_set #1
501b0,libssl.x509_get_serialNumber #51
501cc,libssl.x509_gmtime_adj #53
501e4,libssl.x509_get0_notBefore #50
5020e,libssl.x509_gmtime_adj #53
5021f,libssl.x509_get0_notAfter #49
5023f,libssl.x509_set_pubkey #57
502dd,libssl.x509_get_subject_name #52
502f4,libssl.x509_NAME_add_entry_by_txt #47
5033b,libssl.x509_NAME_add_entry_by_txt #47
5037f,libssl.x509_NAME_add_entry_by_txt #47
503bf,libssl.x509_set_issuer_name #56
5041f,libssl.x509_set_version #58
50443,libssl.x509_sign #59
5045b,libssl.evp_sha256 #9
50482,(unknown)
505ab,kernel32.CreateEventA #181
505ca,kernel32.CreateEventA #181
50e58,kernel32.SetEvent #1265
50e78,kernel32.SetEvent #1265
50ee3,ws2_32.accept #1
50f26,kernel32.CreateThread #234
50f60,kernel32.CloseHandle #129
5100d,libssl.evp_pkey_free #7
5135a,shell32.SHGetFolderPathW #385
5138f,shlwapi.PathAddBackslashW #612
513a2,kernel32.GetVolumeNameForVolumeMountPointW #780
513c7,shlwapi.PathRemoveBackslashW #728
513e0,shlwapi.PathRemoveFileSpecW #734
51401,shlwapi.PathAddBackslashW #612
51414,kernel32.GetVolumeNameForVolumeMountPointW #780
5146d,combase.CLSIDFromString #77
5150b,advapi32.RegOpenKeyExW #1646
5155a,advapi32.RegQueryValueExW #1659
515cf,advapi32.RegCloseKey #1597
516ea,ws2_32.socket #23
51739,ws2_32.WSAIoctl #78
51770,ws2_32.WSAGetLastError #111
517ca,ws2_32.WSAIoctl #78
5180d,ws2_32.closesocket #3
51b7b,ws2_32.getaddrinfo #176
51e63,ws2_32.freeaddrinfo #175
51eba,libssl.x509_new #55
51ed4,libssl.asn1_integer_set #1
51ef6,libssl.x509_get_serialNumber #51
51f12,libssl.x509_gmtime_adj #53
51f2a,libssl.x509_get0_notBefore #50
51f4a,libssl.x509_gmtime_adj #53
51f62,libssl.x509_get0_notAfter #49
51f89,libssl.x509_set_pubkey #57
51fab,libssl.x509_get_subject_name #52
51fca,libssl.x509_NAME_add_entry_by_txt #47
